Entity	Description	TYPES	TYPES	TYPES	TYPES	BELONGS TO	USED FOR	USED FOR	USED FOR	USED FOR	USED FOR	USED FOR	USED AS	USED AS	RELATED TO	RELATED TO	RELATED TO	RELATED TO	INVOLVED IN	INVOLVED IN	INVOLVED IN	INVOLVED IN	INVOLVED IN	ALSO KNOWN AS	CAUSED BY	CAUSED BY	CAUSED BY	CAUSED BY	CAN CAUSE	CAN CAUSE	CAN CAUSE	CAN CAUSE	CAN CAUSE	CAN CAUSE	FOUND IN	FOUND IN	FOUND IN	FOUND IN	FOUND IN	FOUND IN	BRAND NAME	BRAND NAME	BRAND NAME	BRAND NAME	SYMPTOM OF	SYMPTOM OF	ORIGINATED FROM	ORIGINATED FROM	NATURAL HABITAT	NATURAL HABITAT	PRECURSOR TO	CONTAINS	CONTAINS	CONTAINS	CONTAINS
Biochemistry	The study of the chemical processes in living organisms																																																						
Biodiversity	Biodiversity is the variety of life on Earth.																																																						
Biofeedback	Biofeedback is a technique that uses sensors to measure a person's physiological activity, such as heart rate, skin conductance, or muscle tension, and then provides feedback to the person about their physiological activity. The goal of biofeedback is to help the person learn to control their physiological activity.																																																						
Bioidentical hormones	Bioidentical hormones are hormones that are identical in structure and function to the hormones produced by the human body.																																																						
Biological age	The biological age of a person is the age of the person's body.																																																						
Biology	Biology is the study of living things.	Study																																																					
Biomarkers	A biomarker is a measurable indicator of the severity or presence of a disease.																																																						
Biosynthesis	Biosynthesis is the production of organic compounds by living organisms.																																																						
Biotin	Biotin is a water-soluble vitamin that is part of the vitamin B complex. It is also known as vitamin H or coenzyme R. Biotin plays an important role in the metabolism of carbohydrates, fats, and proteins. It is also involved in the synthesis of DNA and RNA.	Water-soluble vitamins	B-vitamins				Fatty acids	Amino acids						Supplement																					Eggs	Milk	Nuts	Legumes																	
Biotin deficiency	Biotin deficiency is a health condition that can occur when there is not enough biotin in the body. Biotin is a water-soluble vitamin that is found in many foods, such as eggs, milk, meat, and nuts. It is also available as a supplement. Biotin deficiency can cause hair loss, skin rashes, and brittle nails.	Health condition																																																					
Bipolar disorder	Bipolar disorder is a mental illness that causes people to experience extreme changes in mood. People with bipolar disorder may swing from feeling very happy and energized to feeling very sad and hopeless, and then back again. These mood swings can last for days, weeks, or even months.	Health condition																																																					
Birth	The definition of birth is the act or process of bringing forth a child from the womb.																																																						
Birth control pills	Birth control pills are a type of contraception that is taken orally by women. The pills contain hormones that prevent ovulation and thicken the mucus in the cervix, making it difficult for sperm to reach the egg.																																																						
